STATE,DEATHS_13AUG2020,DEATHS_PER_1M_13AUG2020,TESTS_13AUG2020,CASES_13AUG2020,CASES_PER_1M_13AUG2020,FLU_DEATHS_ANNUAL,IMMUNITY,POPULATION,TESTS_PER_1M_13AUG2020,LN_TESTS_PER_1M_13AUG32020,LN_DEATHS_PER_1M_13AUG32020,LN_CASES_PER_1M_13AUG32020,POP_DENSITY,LN_POP_DENSITY,IMMUNITY_DENSITY,DATE_FIRST_CASE,DATE_FIRST_DEATH,DAYS_SINCE_FIRST_CASE,DAYS_SINCE_FIRST_DEATH,Long_term_care_facilities_with_ known_cases,Cases_long_term_care_facilities,Deaths_long_term_care_facilities,Long_term_care_facility_cases_share_total_state_cases,Long_term_care_facility_deaths_share_total_state_deaths,Status_Medicaid_Expansion_Decision,PCT_Employer,PCT_NonGroup,PCT_Medicaid,PCT_Medicare,PCT_Military,PCT_Uninsured,Number_Uninsured,TRUMP_SHARE,TRAVEL_RESTRICT,STAY_AT_HOME_DATE,GDP_PER_CAPITA,PCT_OVER65,CHINA_TRADE,LN_GDP_PER_CAPITA,DELAY_SAH_1ST_CONFIRMED,NH_TRANSFER_POLICY,TRANSFER_IMMUNITY
Rhode Island,1019.00,961.90,416203.00,20240.00,19105.90,150.00,1,1059361.68,392880.9281,12.88126186,6.868910495,9.857752467,1021,6.928537818,6.928537818,3/1/2020,3/29/2020,166,138,67,"2,938",808,0.15,0.79,Adopted,0.520332,0.053944,0.234603,0.142384,0.008442,0.040295,40900,0.39,1,3/28/2020,47639,17.2,2.3,10.77,27,1,1
South Carolina,2186.00,424.60,864186.00,103909.00,20181.50,575.00,0,5148374.941,167856.073,12.03086218,6.051147549,9.912521622,162,5.087596335,0,3/4/2020,3/16/2020,163,151,341,"5,943",821,0.06,0.39,Not Adopted,0.452701,0.060815,0.194882,0.163689,0.023018,0.104895,517100,0.55,1,4/7/2020,37063,17.7,5.1,10.52,34,0,0
South Dakota,148.00,167.30,124770.00,9897.00,11187.40,143.00,0,884638.3742,141040.6824,11.85680366,5.119788608,9.322543424,11,2.397895273,0,3/11/2020,3/18/2020,156,149,,,,,,Not Adopted,0.517445,0.082579,0.133383,0.14876,0.024249,0.093584,79400,0.62,0,,48076,16.6,0.4,10.78,155,0,0
Tennessee,1313.00,192.20,1785646.00,128511.00,18806.90,1144.00,0,6831425.598,261387.023,12.47375743,5.258536497,9.841979103,160,5.075173815,0,3/5/2020,3/23/2020,162,144,342,"4,416",335,0.03,0.26,Not Adopted,0.466107,0.057642,0.206457,0.148023,0.019994,0.101776,670300,0.61,0,3/31/2020,43267,16.4,9.3,10.68,26,0,0
Texas,9503.00,327.70,4611777.00,540221.00,18631.00,2413.00,0,28999084.53,159031.8134,11.97685955,5.792098556,9.832582139,105,4.65396035,0,3/4/2020,3/17/2020,163,150,"1,540","21,751","2,360",0.05,0.38,Not Adopted,0.472238,0.060066,0.168587,0.104733,0.017476,0.176901,4957500,0.52,1,4/2/2020,53795,12.6,3.2,10.89,29,0,0
Utah,353.00,110.10,709307.00,45424.00,14168.60,277.00,1,3206176.203,221231.4467,12.3069647,4.701389044,9.558783528,36,3.583518938,3.583518938,3/7/2020,3/22/2020,160,145,344,"2,023",163,0.04,0.46,Adopted,0.605101,0.090986,0.100964,0.099921,0.013105,0.089924,279300,0.46,1,,44636,11.1,2.1,10.71,159,0,0
Vermont,58.00,93.00,105907.00,1484.00,2378.20,57.00,1,623655.914,169816.3966,12.04247311,4.532599493,7.774099178,67,4.204692619,4.204692619,3/8/2020,3/20/2020,159,147,19,231,29,0.16,0.5,Adopted,0.491272,0.063254,0.232019,0.16456,0.008175,0.040721,24500,0.3,1,3/24/2020,43946,19.4,1.6,10.69,16,0,0
Virginia,2363.00,276.80,1414449.00,103622.00,12140.10,986.00,1,8536849.711,165687.4664,12.01785856,5.623295224,9.404269302,212,5.356586275,5.356586275,3/8/2020,3/15/2020,159,152,342,"8,654","1,294",0.08,0.55,Adopted,0.54273,0.062523,0.118663,0.144907,0.044344,0.086833,710500,0.44,0,3/30/2020,51736,15.4,1.8,10.85,22,0,0
Washington,1738.00,228.20,1010191.00,67287.00,8836.20,607.00,0,7616126.205,132638.427,11.79538211,5.430222437,9.086612199,107,4.672828834,0,2/28/2020,2/28/2020,168,168,279,"6,090",951,0.1,0.56,Adopted,0.516068,0.055184,0.208799,0.134585,0.019986,0.065377,481700,0.37,0,3/24/2020,56831,15.4,6.7,10.95,25,0,0
West Virginia,153.00,85.60,339349.00,8151.00,4560.90,343.00,0,1787383.178,189858.0026,12.15403172,4.449685283,8.425275251,76,4.33073334,0,3/18/2020,3/30/2020,149,137,124,509,48,0.11,0.48,Adopted,0.441176,0.031628,0.264493,0.188036,0.012921,0.061747,108200,0.69,1,3/24/2020,36315,19.9,0.9,10.5,6,0,0
Wisconsin,1018.00,174.80,1098401.00,63206.00,10855.60,762.00,1,5823798.627,188605.5941,12.14741331,5.163642463,9.292436355,106,4.663439094,4.663439094,3/4/2020,3/20/2020,163,147,,"1,593",391,0.03,0.39,Not Adopted,0.565487,0.053383,0.166076,0.152038,0.007628,0.055387,313600,0.47,0,3/25/2020,47266,17,2.6,10.76,21,0,0
Wyoming,30.00,51.80,86974.00,3119.00,5389.10,85.00,0,579150.5792,150175.1067,11.91955727,3.947390149,8.592133674,6,1.791759469,0,3/12/2020,4/14/2020,155,122,3,54,6,0.03,0.3,Not Adopted,0.553131,0.069486,0.101906,0.150071,0.019781,0.105625,59200,0.67,0,,58821,16.5,0.3,10.98,154,0,0
